Name,Logo,Site,Funding Rounds,Location(s),Notes
Underscore,rnhu3gcavgubznak04vk.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/AC0zy-mGClHe74LkiQD4pQ/Kxydkbgj5DHX8IbqgpP7Lr3aEeD7X0mYyfeML1wHd8oeESuNLSc1Qtz3vDPhRwKw/gb_yvdQaO5j6RMqb5Q3Gtp7GkJUf7CHXv4jLZojNsm0),http://www.underscore.vc/,Underscore I,Boston/Cambridge,
Union Square Ventures,vt0qjg347v6gall2hmeb.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/teIF2KYu_cFU_b6I1Qd-gg/h-XneMbErSyBTFtU_jA7bzv9Jx0Jq6KzVg-uBAscms7YIO3zqU-IADekglWrG9Sg/_dZhpyCS2bsN81fF9_mWiyVFM3NxIO6sfz4Z7MMl0W4),http://www.usv.com/,"Union Square Ventures V,Union Square Ventures IV,Union Square Ventures IV,Union Square Ventures III,Union Square Ventures II","""New York, NY""",
Unshackled,kw3dsmzg8gql7vamx6ya.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/hdUXkEP8hoieOpfnUjGhhQ/UErqc6qgYvKYoUy9mrEPgVbZIe5Ro0ZXb4FQPFukKZugIecApp9bfRMcDOzGJMRv/cpbDnK_SKMpgtZIEQGAzncrnuX3wkKjv2iUwjT7obkU),http://unshackledvc.com/,Unshackled I,SF Bay Area/Silicon Valley,
Upfront,8647fd890a54e10bd320ada2651040c5.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/oZf_7AEdX6vQGus4JtAErQ/2W3k3tVuw3QvEW_uITURSmPGVaVJA86rYJ6sTUxCaWem_ePclgMFxMJBlbVrC5XVYb-62o2GLQZugJ0r9bnt6A/d78FtXPVhgsfiLHCZKn6IU4J_gqG_LPzmO3AwhQHwqc),http://upfront.com/,Upfront IV,Los Angeles,
Upside Partnership,xxksxcjcwo8nqeaxmzx3.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/rrvH2590hlpirbsyYMmpQA/Tt7Tn0eVjUvH4xTrgaxed7jFiDa5fCMgejuYmxA0hx9tqrSzmidgNotePw33J3z1/iKSydv86WCBQVVoxeJWJYI8iBemM9wt0ix2POyacaKY),http://upsidevc.com/,"Upside Partnership II,Upside Partnership I",SF Bay Area/Silicon Valley,
Vayner/RSE,mojwshldpnj7zh3hcrau.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/bUsSv9dPjxSA_39CTEdzog/hfn_XTiLu89erA1i3RmhDvD7lBHkr3qfiU7Gs7PJNZ6UQqw4p4Svm2QTPaGcLJ3o/gb2v3AZSJ9YpThIbRxTi1oqR-uTQX41GPdKd8v844SI),http://vaynerrse.com/,Vayner/RSE I,"""New York, NY""",
Version One Ventures,f87799370e7476d4da670d7af135eebb.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/URYORaGWNk--HP28bg5hvg/6MqDRf2kh80rtnpubUCn5JB72Drqfm7GuiLVZQMEIKcjDavKwoeBaQ2uajU6kpiQ9oXr7F2LDEiEtgsShY25Jw/fCBCbNP_Ih8AT-f_CRCvBpFuEKGm9rDHSsn3izPpvQw),http://versionone.vc/,"Version One Ventures II,Version One Ventures I",Vancouver,
Westly Group,dc1ee6850578def24dbe5d3a4f1941e3.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/rUtdugRMDNOEnTRbG4_Zpg/wLQIpm6iNyXKDAPuU01nihzyiebQAdRSHvOwF24uAAwDAiT25jYhmVallTDAmHLTNPy4TiQRYF-yMHIlJf-naw/LO3NmOD160-lVwnyPzuvf7rt9e64jTE3VRHwE4b5yTE),http://www.westlygroup.com/,Westly Group II,SF Bay Area/Silicon Valley,
White Star Capital,hcw35ep4xvtw0inw6yse.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Jz7S22C_qXAcsOhs6bjHXA/nytZ9mlsYdIyWfHgx97JIkwp9fT4JRLiy9s46noQayinJ31GIhwIj2eLGmEF9O_3/BJ-nZOytMS3DPJ7_GzqQyhbawiPqGswN0jAmxY3tBMw),http://www.whitestarvc.com/,White Star Capital I,"""New York, NY"",London,Montréal",
WindSail Capital,aacec93ebdb4feda2606eed89b87938b.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/cE9Nzm90j23iSDAC5Xz4gg/6gZXTxguIiqphnLsF-0y6xKQ9KJqzR01FTmg0QGr51fcAMPUAd_K4ZONU7oMnIzjF26i_rNFTJGyFVUIWgMEzQ/OdGRa10yVw-ZS-UaQbmTL8HRKAJKCZwb0vTbOLbdIMo),http://windsailcapital.com/,WindSail Capital I,Boston/Cambridge,
Work-Bench Ventures,4317ffa86e35706a3436c5d7b2b4abd7.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/GqQnarHmolAs9qje6hRSoQ/W-wGdONCw-5krN8izb3NwPgIwO-KMNMuy1lX05qEC6Ut6arqXX44V3ZvcBDNwHqx5e049cwlq9Lan5ZhLw8vrw/0_qEGm5nlkXBnv2j4RzlhsQ-5QWn2pYjOUuy3iVMEpg),http://work-bench.com/,Work-Bench Ventures I,"""New York, NY""",
xFund,cfo9fy3wpyedprzzv3kg.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/K80u2PFY0EQTZW6vVhfYdQ/9eeEznEWaW-SIXLjurmBP70dxqWUv6dvQXsLD878NVAejkNnKcJdijjNWTPMNDCJ/E3HbTSL2TFlwMtGZPNnMB6Ta0PZHnt9Ufdoi2uWBFwo),http://xfund.com/,xFund II,"Boston/Cambridge,SF Bay Area/Silicon Valley",
YL Ventures,55a03e66cf8212d65726740b416f14a2.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/LiA1QvXsg8P_xEFfA9ttCQ/37mc-TI6ehpkCZdgWMPKZFEZKC-XtZFpxQKjYKBkwEhiO2wfEknu52iz4VRnrHu-NjuzZ56jRHJ40rA04KgCgQ/bThEMG6_N7QzkSf1o29tB0NXqRdnDpsaTIL8cSzMzBM),http://www.ylventures.com/,YL Ventures II,"Tel Aviv Metro Area,SF Bay Area/Silicon Valley",
Zetta Venture Partners,r3skqe9nezeytlb2oigs.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/t-VQWxoT_hNu2BnklI867w/SvB45p9T8MzxK6GiVpItLKnIs5vBAAdFq5ubTMFXdey6sHpyd8_fSdfWP1g1Rfjd/sZQjNra1lpOiSSCLBZDOxlo7kqogouwtZc0zGbbRjuw),http://www.zettavp.com/,"Zetta Venture Partners II,Zetta Venture Partners I",SF Bay Area/Silicon Valley,
