Name,Logo,Site,Funding Rounds,Location(s),Notes
Collaborative Fund,93db4f1192e705e85828dfb305ab1b8d.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/9-ORzMk2vfGlOI97SzvC5g/6YOpIcTbB4MWWgZp897NaX2S7PoVoqGcQcWYKdSBfU9xaaaWzkLDzcbj-oSLuBl7OpXpgfuH_VyqarIBuidC9Q/hsjYeqlqDLXvUs2pdsT4uCfaqUMA7C_fkNgPbW8YODo),http://www.collaborativefund.com/,"Collaborative Fund III,Collaborative Fund II","""New York, NY"",SF Bay Area/Silicon Valley",
Commerce Ventures,3a196104c9cc2bc12aa37f28f6fd502b.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/z32v0DoJsX1BgLjHk7XeZA/HG17GjM6VlhwaYbVATRpe0mnZLDxxTjkQxi4HszHqHfBelyPSg0j2agVjSmf9ITj-ao-xnRjIoP1C0qhI6n15A/zL66n7Q1dYH8C57_YDhGzA3mg3vWHK0ZFViaTRF1TbA),http://www.commercevc.com/,Commerce Ventures II,SF Bay Area/Silicon Valley,
Common Angels,d2hs3ttmfqjg03mqflt0.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/m41VcREzg6BAgRvDh0zBQA/E9azznWvRBv7ViYHyJpSXlxBcVEp8a5R4WciYnZkSL4YID7p-AC1wixy5z6qv90k/XU1wvMBF4CbwVLOqZPFNO4zxglH9fRFOwAZTkK_BgIw),http://convergevp.com/,Common Angels IV,Boston/Cambridge,
Compound,u9tde627pdfvfidqmme7.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ncRMrlmyOG1OART_6YOPTQ/EzeXeznIgH3yv8oC0u8za0eFh64H04Dm-gMTKkYii13to7N4XmNeOVzyFpbPOVcL/At6znNwXMHpBsc7Sr8oIqGy892seuUzE2IWNKG-QBos),https://compound.vc/,Compound I,"""New York, NY""",
Connect Ventures,cfajsy7bhywb0jbdfmcw.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/aQstbyOopxwDpu0np3bpLQ/bpzeqcIkqsFqvonG1jxeCPcY5IWanC2B3FJSV9h01DkFy7xvaI6AFcTDBy02f8ll/V4uzhjUbn2ff_MzYL1tX6Qm5FQJ4CP2PPH2lSgT4V4o),http://www.connectventures.co/,Connect Ventures I,London,
Contour Venture Partners,3c8a62ef1460fe0bf165c464512f3c3d.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/UmV86yJJR_M-ITL84buB1A/1_OHcn7ZY42GymMH5v0GqxDAVq6rvgL3nDgPWBzeG_TV-amm4ZZv2k9OusUKf6xbU_BnWHb8zaxja8BSe0TWWg/yx0mROJrd67ELij8XxVg7wLclStOTF5C6MlL7Ak31x8),http://www.contourventures.com/,Contour Venture Partners III,"""New York, NY""",
Core Innovation Capital,nos4iyqwuz9sgpmmcegh.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/3tyYROYbOF0_QXbwlotd5Q/iWK3V3S5BxtVmB3iZwLMGvRE-U0zvRTquShErj38g-wLSBdKuCM9MF6ujRtuNhrK/kS326U3YIRpBJEmzX4KlTegvpiWnMaokM04PBylm1dU),http://www.corevc.com/,Core Innovation Capital I,"""New York, NY""",
Correlation Ventures,098b5d40b07e1324c4b92bfb8c8e052a.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/BkZVBf9h0aY6O3v5xNlsZA/RmABuKb79qHpFgrHsXAfKY8tX6p2NI8Q-4j1p3-k5DW9VdAxXnE9TRJV6R3WmHmO939CXVoFyCAXhD_T-ctRUw/MeyZ_HlhBwSD0B7uZGf5UFgKq6442azuHAPwuRkyTt4),http://correlationvc.com/,Correlation Ventures I,"""San Diego, CA""",
Costanoa Venture Capital,sjmqegstnfkohjv6oek9.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/upmwzK7vyfTbPjOOYhp1jA/z1KnuzYzLV2C91fL8nJYNbKui56M4gvXU8KjgMqqCWP8T16LaUTpuojzc0iF1AnR/NO3oofUneToDhzBbSqbu2SR-P2buEYpP5IpgXw00XVw),http://costanoavc.com/,"Costanoa Venture Capital I,Costanoa Venture Capital II",SF Bay Area/Silicon Valley,
Courtside Ventures,nnwhhshivlz7nczspfra.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/BwhvVokAzL57UDvGpwJ9mA/HVpFTHmCaX1enKuRsGzrAVpfRMdGZDa4jrlqdR8WMKAIi_YSqS06kICrNGqeml12/_IpnlFxgRfgTyuXL_2zcKXZZE8lO8PlF86nd1mY6ndk),http://www.courtsidevc.com/,Courtside Ventures I,"""New York, NY"",Detroit",
Cowboy Ventures,fae13beab9fc463dcef42a43d9d4942f.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Hx8spKIMO2q7YjW7NW0Kbw/19n4x6f-nOqAJ3XXPnmkCWMgbYAdsyxy0ghMBBLATVqgzhurbpFDiSNKQYNtxviSxVIScR1Mw6cPL4zccQhsMg/pupfn1rrnYuU0K_IcGKL2Vg4njjnR0fy8rXbnqzroTQ),http://www.cowboy.vc/,"Cowboy Ventures II,Cowboy Ventures I",SF Bay Area/Silicon Valley,
Craftsman Capital Partners,vcin2nm4wyj8hoatbdri.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/NAKu-q6K8YAeauHKtTeTPw/ul_EUdM06tHsubBb3iihYmVrsDqhclUA1ijMjh-v1-Hg0dEyFZzEjVCgVCc0uhZg/A0Mwgi2Iq4zePtjO5BQJ9XKgyO5KnhyV_up5pk3EvWI),http://www.craftsmancapitalpartners.com/,Craftsman Capital Partners I,Dallas,
CrossCut Ventures,xm4intqnbaijzv5ennau.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/_Dg6j5hCWMfE7Xm1DhOsGA/YNZiItE-Q3vI7cFtVnMZ7oZ-bXdMkxwgHGxywkIDneal_6K-_bj7Z3zhQONZ56sW/e7WD_P9X7VM7HhV-BpO12Ejm6hMFB6Ud6PdPwtbM4h8),http://crosscutventures.com/,CrossCut Ventures III,Los Angeles,
Crosslink Capital,zptspfemah9nkpljm0mz.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/caBL8lUMHC1r-JufdsC_tA/wYJBtQ8tZu5_jpYKVVA4sLJRSeRriwAvy3NqyBj8OJ2XHbDkzM63YQvk3WdbJBz-/Bw6rhvWm0_n1kIg6jd5XSDehw8LsROSl80o-TIrRO18),http://www.crosslinkcapital.com/,Crosslink Capital VII,SF Bay Area/Silicon Valley,
Crunchfund,z6ksg9sgoutkitsbvwdm.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Sgn7679-oe7jkdTIz_-eCg/lmbrZeYaAlxCZQ6oHH1nKnm-ohKTn6LCvWatNUkvxHHEDByMrd50KVt5CThhzboG/YBLkm-YwVtUCnl0Z60OooRlwfI8o9T5rmNT_lCAXWyI),http://crunchfund.com/,Crunchfund I,SF Bay Area/Silicon Valley,
Crystal Tech Fund,default_image_cb-e2471225359df18a02957cad1c97c684.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/hgBckk9i4UA0U8ZJk6Y28Q/cwqs4fAtratCL7MAg7fbPBsJxdWqh-mAV9muQrFYT1Sy5Pdqgu7lMvxghW4LS2GhMM3WkcG1ak_YM1MKVGHQ0dBKNRMgthoccxgOoKmqPlY/bLrVfWNElcU8TZFiUUs-m_AGdjfzCTeMc31SKLsdMZM),http://www.crystalcity.org/,Crystal Tech Fund I,"""Washington, D.C.""",
Danhua Capital,ogij8v0mzf7l1e4gt8ti.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/G1L4WXcm1et0mzO9_OCVdQ/r5fD1jfqJWd7Co9s93HdW9kJeNumT_Gqo0yeU7QsodNjAQ8atuVfAJePQ89xcM98/LxtFF-Bdzs8lBexFvWEyg8eMlJmlOM31vYr73F_b4mk),http://www.danhuacap.com/,Danhua Capital I,SF Bay Area/Silicon Valley,
Data Collective,oerb3m0xdc6e2crgiy3x.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/mk8svLhNrVNNL7na5rqBtA/bO34YXdNL_UX95q0RN5aj7E-BpJzyl9pwIWV9XpzrDehZPX_k-833gatVrl924R2/5OIkDvSK3PJVXEAG4xR5CXsmEbMrwIgUh_H9doVrWEU),http://www.dcvc.com/,"Data Collective IV,Data Collective I,Data Collective III,Data Collective I",SF Bay Area/Silicon Valley,
Deep Fork Capital,c57638d4953426c4b2d3e8c82af259f3.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/5GWK2rh3iJEycwTBKgKiyw/LGRohNC-RK6n3KQupYeWHD3KeQDHV17u2TE4JxI4l_K2YiJjwF-EfjhMU1flrNGPtffY5GMwBmciVyoS5jNQFA/R-cEIaNETdQ4LjkBx4x_xyWUUqHuec1fQ1YqJsoiKMs),http://www.deepforkcapital.com/,Deep Fork Capital II,"SF Bay Area/Silicon Valley,""New York, NY""",
Designer Fund,mpjiithjnvud5zfhnnlg.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/luw12Tx2c7BBCKMrK1nDHQ/DL0ARsh5izBwSnrqjcjnQztg24X607nt2qsJ0qjLBb2e6KOHswtzYWFOVJ3lRlwp/ly7TPDk9XvO4WFRJhqH4BzCjWz4IOLpsS6uUzBt_zC0),http://designerfund.com/,Designer Fund I,SF Bay Area/Silicon Valley,
DN Capital,9c968fac08dd53791219d3caccbc453b.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Is3Ep1FnpuKtiNukQSYBwg/ogquPB3HOQ1CreHftYJ4jO26Muv6HMvQ1LZY156BFmdBUrKXinTIe412oXTlfIkIZuIoNamyHiUOG01WecBNYA/NijP-NuSlCVQKbBx3R-rf4U_Gp5o4SR2ee2RaArwdGc),http://dncapital.com/,DN Capital III,"SF Bay Area/Silicon Valley,London",
Draper Associates,ltlapqz9ek6ogthkjegj.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/7wYffiRXwaePxY1IlG_9qw/0eN-34dR0edqxAbH8ZE2FGbqqr9pStUmAOCCk_DQpGBcJAoNDFHhuv9JIZLNTqUi/TpQcv08jkvtD0MSAl8eyRNcnz_JFdfdddeacdgj_Mn4),http://www.draper.vc/,"Draper Associates I,Draper Associates V",SF Bay Area/Silicon Valley,
